currentPrice,deliveryMethodList,deliveryTypeList,dirtyTicketInd,faceValue,isGA,listingAttributeCategoryList,listingAttributeList,listingId,listingPrice,quantity,row,score,seatNumbers,sectionId,sectionName,sellerOwnInd,sellerSectionName,splitOption,splitVector,ticketSplit,zoneId,zoneName,amount
"{'amount': 287.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,1,,,1288004681,"{'amount': 235.0, 'currency': 'USD'}",2,GA,0.0,General Admission,369738,Floor General Admission,0,Floor General Admission,0,[2],2,264527,Floor,287.25
"{'amount': 287.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 99.15, 'currency': 'USD'}",1,,,1285869277,"{'amount': 235.0, 'currency': 'USD'}",4,1,0.0,General Admission,1944114,Riser General Admission 3,0,Riser General Admission 3,1,"[2, 4]",2,264527,Floor,287.25
"{'amount': 290.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285864533,"{'amount': 240.0, 'currency': 'USD'}",1,22,0.0,1,369790,200 Level - 210,0,200 Level - 210,0,[1],1,78443,200 Level,290.5
"{'amount': 290.5, 'currency': 'USD'}",[1],[1],False,,0,[1],[204],1285864855,"{'amount': 240.0, 'currency': 'USD'}",1,7,0.0,5,369778,400 Level - 418,0,400 Level - 418,0,[1],1,78440,400 Level,290.5
"{'amount': 290.85, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 97.5, 'currency': 'USD'}",0,,,1287142024,"{'amount': 238.0, 'currency': 'USD'}",4,6,0.0,,369764,100 Level - 120,0,120,2,"[1, 2, 4]",1,78442,100 Level,290.85
"{'amount': 292.65, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,[6],[101],1285842252,"{'amount': 239.5, 'currency': 'USD'}",2,9,0.0,"1,2",1944114,Riser General Admission 3,0,FLOOR 3,0,[2],2,264527,Floor,292.65
"{'amount': 293.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1284859726,"{'amount': 240.0, 'currency': 'USD'}",4,17,0.0,"20,21,22,23",369755,100 Level - 111,0,100 Level - 111,1,"[2, 4]",2,78442,100 Level,293.25
"{'amount': 293.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 110.95, 'currency': 'USD'}",1,,,1285855260,"{'amount': 240.0, 'currency': 'USD'}",2,GA,0.0,General Admission,369738,Floor General Admission,0,GA4,1,"[1, 2]",1,264527,Floor,293.25
"{'amount': 293.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,"{'amount': 110.12, 'currency': 'USD'}",1,,,1287542459,"{'amount': 240.0, 'currency': 'USD'}",3,GA4,0.0,"26,27,28",1944114,Riser General Admission 3,0,GA3,2,"[1, 3]",1,264527,Floor,293.25
"{'amount': 293.25, 'currency': 'USD'}","[22, 23, 24]",[5],False,,0,,,1288192059,"{'amount': 240.0, 'currency': 'USD'}",4,7,0.0,"3,4,5,6",369749,100 Level - 105,0,100 Level - 105,1,"[2, 4]",2,78442,100 Level,293.25
"{'amount': 296.97, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1287616074,"{'amount': 243.1, 'currency': 'USD'}",1,GA,0.0,,369738,Floor General Admission,0,Floor General Admission,1,[1],1,264527,Floor,296.97
"{'amount': 299.01, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1286011587,"{'amount': 244.8, 'currency': 'USD'}",2,GA0,0.0,"3,4",369738,Floor General Admission,0,GA4,2,[2],1,264527,Floor,299.01
"{'amount': 299.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1285839305,"{'amount': 245.0, 'currency': 'USD'}",2,FLOOR,0.0,,369738,Floor General Admission,0,FLOOR GENERAL ADMISSION,1,"[1, 2]",1,264527,Floor,299.25
"{'amount': 299.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,1,,,1285827014,"{'amount': 245.0, 'currency': 'USD'}",1,PTBM,0.0,,369738,Floor General Admission,0,GA Floor,1,[1],1,264527,Floor,299.25
"{'amount': 302.25, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285927579,"{'amount': 247.5, 'currency': 'USD'}",4,10,0.0,"1,2,3,4",369800,200 Level - 227,0,227,2,"[1, 2, 4]",1,78443,200 Level,302.25
"{'amount': 302.5, 'currency': 'USD'}",[1],[1],False,,0,,,1285850225,"{'amount': 250.0, 'currency': 'USD'}",1,15,0.0,General Admission,369756,100 Level - 112,0,100 Level - 112,0,[1],1,78442,100 Level,302.5
"{'amount': 302.5, 'currency': 'USD'}",[1],[1],False,,0,[1],[2361],1285857992,"{'amount': 250.0, 'currency': 'USD'}",2,19,0.0,,369756,100 Level - 112,0,112,2,[2],1,78442,100 Level,302.5
"{'amount': 302.5, 'currency': 'USD'}",[1],[1],False,,0,,,1286311761,"{'amount': 250.0, 'currency': 'USD'}",2,16,0.0,,369798,200 Level - 225,0,225,1,"[1, 2]",1,78443,200 Level,302.5
"{'amount': 302.85, 'currency': 'USD'}","[22, 23, 24, 25]",[5],False,,0,,,1285848198,"{'amount': 248.0, 'currency': 'USD'}",3,11,0.0,,369746,100 Level - 102,0,102,0,[3],3,78442,100 Level,302.85
